title,phone,address,googlemap_address_url,region,city,discount_details
مجمع النبأ للخدمات الطبية (حي الفناتير),tel:0133451111,العنوان : الجبيل الصناعية - حي الفناتير - شارع الشاطئ ,"https://www.google.com.sa/maps/place/27%C2%B008'13.0%22N+49%C2%B033'59.7%22E/@27.1368507,49.5657223,18z/data=!4m5!3m4!1s0x0:0x0!8m2!3d27.1369438!4d49.5665779?hl=en",المنطقة  الشرقية,الجبيل,"{'* خصم  على الكشف في جميع العيادات .': '40', '* خصم  على الأشعة والمختبر .': '30', '* خصم  على العظام .': '30', '* خصم  على الباطنية .': '30', '* خصم  على الجلدية .': '30', '* خصم  على الأسنان .': '30', '* خصم  على جميع خدمات الأسنان .': '30', '* خصم  على الأطفال .': '30', '* خصم  على باقي جميع الخدمات .': '30', '* خصم  على الصيدلية .': '8'}"
صيدليات طيف الماسية الطبية (جميع الفروع),tel:0163834396,العنوان : المجمعه .اليرموك طريق الملك عبدالعزيز,,المنطقة الوسطى,الزلفي المجمعة وحوطة سدير,"{'خصم 10% على جميع المنتجات ماعدا الحليب والحفائض': '   ', 'يجب إبراز بطاقة تكافل العربية للحصول على الخصم': '    '}"
مساج سبشل تايم,tel:0569104737,العنوان :  حائل - طريق الملك فيصل -  الوسيطاء،,"https://www.google.com/maps/place/سبيشل تايم للمساج Special Time Massage‭/@27.5233418,41.6808863,15z/data=!4m2!3m1!1s0x0:0xe007d27a5beb3e45?sa=X&hl=ar&ved=2ahUKEwizzu_B4cjuAhX2aRUIHYoXBPwQ_BIwE3oECB0QBQ",المنطقة  الشمالية,حائل,"{'مساج سويدي': '50', 'مساج تايلندي': '50', 'مساج الاحجار ساخنه': '50', 'مساج دراي ( بدون زيت )': '50', 'خصم على جميع الباقات و البكجات': '30'}"
مراكز زهير للبصريات (جميع الفروع),,,,المنطقة  الشرقية,الجبيل,"{'*خصم  على فريم طبي بيور .': '50', '*خصم  على فريم طبي سيلفر .': '50', '*خصم  على فريم طبي فيتريو .': '50', '*خصم  على فريم طبي برنس .': '50', '*خصم  على فريم طبي ليبرتو .': '50', '*خصم على فريم طبي ميجا .': '50', '*خصم  على فريم طبي (ماركة عالمية) .': '40', '*خصم  على نظارة شمسية سليفر .': '50', '*خصم  على نظارة شمسية برنس .': '50', '*خصم  على نظارة شمسية ليبرتو .': '50', '*خصم  على نظارة شمسية (ماركة عالمية) .': '40', '*خصم  على العدسات الطبية .': '15', '**خصم على العدسات اللاصقة .': '10'}"
صيدلية ابن النفيس (شارع الأمير نايف بن عبدالعزيز),tel:0530890815,العنوان : المجمعة - شارع الأمير نايف بن عبدالعزيز,"https://www.google.com.sa/maps/place/25%C2%B054'23.1%22N+45%C2%B022'52.0%22E/@25.9064102,45.3832846,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d25.9064102!4d45.3810959?hl=ar",المنطقة الوسطى,الزلفي المجمعة وحوطة سدير,{'خصم 10% على جميع المنتجات ماعدا الحليب والحفائض': '    '}
مركز ركن راحتي الرياضي ( المجمعه طريق الملك عبدالله),tel:0541816666,العنوان : المجمعة - حي الملك فهد - طريق الملك عبدالله,"https://www.google.com.sa/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B1%D9%83%D9%86+%D8%B1%D8%A7%D8%AD%D8%AA%D9%8A+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%E2%80%AD/@25.9011824,45.3411404,16.75z/data=!4m5!3m4!1s0x3e2ac628444f226d:0xb48dbd098e013686!8m2!3d25.901386!4d45.3387173?hl=ar-SA",المنطقة الوسطى,الزلفي المجمعة وحوطة سدير,"{'خصم على جميع خدمات المركز .  الخدمات التي يقدمها المركز :  (مساج - حمام مغربي - علاج طبيعي - جلسات بدكير - سباحة - كاراتيه )': '20', 'يجب إبراز بطاقة تكافل العربية للحصول على الخصم': '   '}"
مجمع عيادات المدار لطب وتقويم الاسنان,tel:هاتف :   0165582222,العنوان : مجمع عيادات المدار لطب وتقويم الاسنان العنوان : حائل - شارع الامير سلطان (الثلاثين),"https://www.google.com.sa/maps/place/27%C2%B030'24.2%22N+41%C2%B040'55.1%22E/@27.501222,41.6866005,14z/data=!4m5!3m4!1s0x0:0x0!8m2!3d27.5067233!4d41.6819577?hl=ar",المنطقة  الشمالية,حائل,"{'*الكشف وفتح الملف مجاني لحاملي بطاقة تكافل العربية .': '-', '*ازالة الجير + تلميع': '150 ', '*سحب عصب': '250', '*خلع عادي': '150', '*اشعة صغيرة': '20 ', '*اشعة بانوراما': '130', '*حشوة تجميلية': ' 175', '*حشوة مؤقته': '75', '*تركيبة البورسلان': ' 400', '*تركيبة الزيركون': '700', '*ابتسامة هوليود للسن الواحد': '700', '*توريد اللثة': '350', '*معالجة اللثة': '200 ', '*تنظيف الاسنان': '150 ', '*قوالب تبييض المنزلي': '800', '*خصم على باقي الخدمات الغير مذكورة.': '30 ', '*خصم 5% على العروض الخاصة .': '-'}"
مركز دكتور نيوترشن ( جميع الفروع ),tel:0118103068,,,المنطقة  الشرقية,الجبيل,"{'*باقة (التوفير) سعر الباقة قبل الخصم (750) ريال , بعد الخصم': '600', '*باقة (البرونزية) سعر الباقة قبل الخصم (950) ريال , بعد الخصم   .': '750', '*باقة (الفضية) سعر الباقة قبل الخصم (1500) ريال , بعد الخصم  .': '1100', '*باقة (التيتانيوم) سعر الباقة قبل الخصم (2500) ريال , بعد الخصم  .': '2000', '*باقة (الذهبية) سعر الباقة قبل الخصم (3500) ريال , بعد الخصم  .': '2999 ', '*باقة (البلاتينية) سعر الباقة قبل الخصم (4500) ريال , بعد الخصم  .': '4000 ', '*باقة (الوزن المثالي) سعر الباقة قبل الخصم (5555) ريال , بعد الخصم  .': '5000', '*باقة (الماسية) سعر الباقة قبل الخصم (7250) ريال , بعد الخصم  .': '5999', '*باقة (vip) سعر الباقة قبل الخصم (8500) ريال , بعد الخصم.': ' 6999', '*يحصل عميل تكافل العربية على العرض الأقل بفروع الدكتور نيوترشن بالاضافة الى شهر اضافي عند الاشتراك في أي باقة .': '   ', 'ملاحظه : في حال عدم الإشتراك في أي باقة يتم خصم  على جميع المنتجات .': '10', 'هذه الخصومات لا تشمل الأجهزة الرياضية .': ' '}"
مجمع حبتر لطب الاسنان ( النماص ),tel:0172834300,العنوان : حي الاندلس - طريق الملك فيصل,"https://www.google.com/maps/place/مجمع حبتر لطب الأسنان النماص‭/@19.1481184,42.1176549,17z/data=!4m8!1m2!2m1!1z2YXYs9iq2YjYtdmBINit2KjYqtixINin2YTZhtmF2KfYtQ!3m4!1s0x0:0x9bb722937bca51df!8m2!3d19.1480802!4d42.115531?hl=ar",المنطقة الجنوبية,النماص وتنومة,"{'الكشف و فتح الملف مجانا لحاملي تكافل العربية': ' ', 'الخلع العادي': '130', 'اشعة صغيرة': '40', 'اشعة بانوراما': '100', 'حشوة تجميلية كمبوذيت': '150', 'خلع ضرس العقل بدون جراحة': '300', 'خلع ضرس العقل بجراحة': '700', 'تركيبة البورسلين': '400', 'تركيبة الزيركون': '700', 'تنظيف الاسنان': '150', 'تبييض الاسنان بالليزر': '800', 'سناب اون للفكين': '1500', 'خصم على باقي الخدمات': '20', 'خصم على العروض الخاصة': '5'}"
مركز تواصل الطبي,tel:هاتف :  ‪0551798354,العنوان : مركز التواصل الطبي العنوان : حائل - حي المطار - طريق الامام محمد بن سعود,"https://www.google.com.sa/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AA%D9%88%D8%A7%D8%B5%D9%84+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%E2%80%AD/@27.5104232,41.6886983,17z/data=!4m5!3m4!1s0x15764714078367f7:0xa4a6adba63c3ac7f!8m2!3d27.5104232!4d41.6865096",المنطقة  الشمالية,حائل,"{'*خصم على الكشف المبدئي .': '50 ', '*خصم  على كشف اخصائي التغذية .': '50', '*خصم على اخصائي زائر (التخاطب تعديل سلوك ) .': '30 ', '*خصم على التحاليل .': ' 25 ', '*خصم على اختبار الذكاء .': '20 ', '*خصم على تخاطب 5 ايام .': ' 15', '*خصم  على جلسة تخاطب لشخصين .': '15', '*خصم  على الحمية الغذائيه لمدة شهر .': '15', '*خصم  على البرنامج المكثف .': '15', '*خصم  على تعديل السلوك 5 ايام .': '15', 'الخصم  على دفعة البرنامج المكثف .': '15', 'خصم على تعديل السلوك 3 ايام .': ' 10', 'خصم  على التخاطب لمده ساعة .': '10', '*خصم  على جلسة تخاطب 3 ايام': '10', '*خصم على جلسات تخاطب يومين بالاسبوع .': '10 ', '*خصم  على تعديل سلوك يومين .': '10', '*خصم  على الجلسات السمعية بالساعة .': '10', '*خصم  على اختبار التوحد .': '10', '*خصم  على تعديل السلوك لمده ساعة .': '5', '*خصم 5% على العروض الخاصة .': '-'}"
مجمع عيادات فنون الابتسامة لطب الاسنان (اليرموك),tel:0164316660,العنوان : المجمعة - حي اليرموك - شارع سعد بن ابي وقاص,"https://www.google.com.sa/maps/place/25%C2%B054'36.2%22N+45%C2%B021'30.3%22E/@25.910059,45.360591,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d25.910059!4d45.3584023?hl=ar",المنطقة الوسطى,الزلفي المجمعة وحوطة سدير,"{'الكشف وفتح الملف والاستشارة مجاناً لحاملي بطاقة تكافل العربية': '   ', 'كشف الأخصائي': '30', 'خلع عادي': '120', 'أشعة صغيرة': '30', 'أشعة بانورامية': '150', 'حشوة تجميلية': '100', 'حشوة مؤقتة': '100', 'تركيبة البورسلين لسن واحد': '300', 'تركيبة زيركون لسن واحد': '600', 'ابتسامة هوليود عدد 16 سن': '10000', 'التقويم المعدني بـ 6000 ريال أقساط شامل الأشعة والمثبت مقدم 1000 ريال': '   ', 'توريد اللثة': '500', 'قص اللثة بالليزر': '500', 'تقويم الأسنان بـ 5000 ريال أقساط شامل الأشعة والمثبت مقدم 500 ريال': '    ', 'تنظيف الأسنان': '90', 'تبييض الأسنان بالليزر': '500', 'قوالب الأسنان بالليزر': '650', 'سناب اون (ابتسامة هوليود المتحركة )': '2000', 'خصم على العروض الخاصة': '5', 'يجب إبراز بطاقة تكافل العربية للحصول على الخصم': '   '}"
وقت التداوي للحجامة,tel:هاتف :  0165410404,العنوان : مركز وقت التداوي للحجامة العنوان : حائل - الوسيطاء - شارع الامام محمد بن سعود,,المنطقة  الشمالية,حائل,"{'*12 كاس حجامة': '150 ', '*8 كاس حجامة': '120', '*خصم 5% على العروض الخاصة .': '-'}"
مجمع حبتر لطب الاسنان سراه عبيده,tel:0172591600,,"https://www.google.com/maps/place/مجمع حبتر لطب الأسنان سراة عبيدة‭/@18.0915273,43.1315397,17z/data=!4m12!1m6!3m5!1s0x15fc8141039fd09b:0xf95a2a3b387cafcd!2z2YXYrNmF2Lkg2K3YqNiq2LEg2YTYt9ioINin2YTYo9iz2YbYp9mGINiz2LHYp9ipINi52KjZitiv2Kk!8m2!3d18.0866992!4d43.129351!3m4!1s0x15fc8141039fd09b:0xf95a2a3b387cafcd!8m2!3d18.0866992!4d43.129351?hl=ar",المنطقة الجنوبية,سراة عبيدة وظهران الجنوب,"{'الكشف و فتح الملف مجانا لعملاء تكافل العربية': ' ', 'الخلع العادي': '130', 'اشعة صغيره': '40', 'اشعة بانوراما': '100', 'حشوة تجميلية كمبوذيت': '150', 'خلع ضرس العقل بدون جراحة': '300', 'خلع ضرس العقل بجراحة': '700', 'تركيبة البورسلين': '400', 'تركيبة الزيركون': '700', 'تنظيف الاسنان': '150', 'تبييض الاسنان بالليزر': '800', 'سناب اون للفكين': '1500', 'خصم على باقي الخدمات': '20', 'خصم على العروض الخاصة': '5'}"
صيدلية السمو (ضرما),tel:‪0565836311,العنوان : العنوان : ضرما - البديع الشرقي,"https://www.google.com.sa/maps/place/24%C2%B035'31.4%22N+46%C2%B008'50.1%22E/@24.5920506,46.1494284,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d24.5920506!4d46.1472397?hl=ar",المنطقة الوسطى,المزاحمية,"{'*خصم على الادوية .': '7', '*خصم على الحفايض و الانسولين .': '5', '*خصم على الاجهزة الطبية .': '10', '*خصم على منتجات التجميل.': '10'}"
مجمع عيادات صفوة السعودية الطبية (عفيف),tel:0117242223,العنوان : العنوان : عفيف - طريق الملك خالد,"https://www.google.com.sa/maps/place/23%C2%B053'55.8%22N+42%C2%B054'27.2%22E/@23.8958183,42.9127062,16.92z/data=!4m5!3m4!1s0x0:0x0!8m2!3d23.8988285!4d42.9075584?hl=ar",المنطقة الوسطى,عفيف,"{'*كشف الاسنان مجانا لحاملي بطاقة تكافل العربية .': ' ', '*اشعة صغيرة': '40', '*اشعة البانوراما': '125', '*الخلع العادي': '85', '*الخلع الجراحي (المنطمر)': '490', '*حشوة الاسنان بدون سحب عصب (تجميلية)': '200', '*حشوة الاسنان بدون سحب عصب (معدنية)': '150', '*تنظيف الاسنان': '200', '*تبييض الاسنان بالليزر': '600', 'تركيبة الزيركون للسن الواحد': '750', '*عدسات الاسنان الابتسامة للسن الواحد': '750', '*تركيبة البورسلان للسن الواحد': '400', '*معالجة الجذور': '400', '*خصم على تقويم الاسنان حسب الحالة .': '25', '*ليزر ازالة شعر الجسم كامل': '800', '*تشقير الحواجب': '150', '*ليزر التشقير الكربوني': '350', '*تنظيف البشرة بجهاز الهيدرافيشل + ماسك ايطالي': '250', '*فراكشنال ليزر الندبات وحب الشباب': '570', '*فراكشنال ليزر لنظارة البشرة وازالة التجاعيد': '550', '*فراكشنال ليزر لازالة الحروق والجروح': '550', '*حقن البلازما لتساقط الشعر': '650', '*حقن البلازما لازالة الهالات السوداء': '650', '*حقن الميزوثيرابي للشعر': '250', '*حقن الميزوثيرابي للوجه': '250', '*حقن الميزوثيرابي لتفتيح البشرة': '250', '*التقشير الكيميائي لنظارة البشرة': '250', '*التقشير الكيميائي لعلاج حب الشباب': '250', '*التقشير الكيميائي لتفتيح الاماكن الحساسة': '250', '**التقشير البارد للوجه لازالة التصبغات': '700', '*الفيلر 1 مل': '1300', '*جلسة العلاج الطبيعي': '120', '*جلسة المساج': '190', '*النادي النسائي :': ' ', '*اشتراك شهر (فترة صباحية)': '270', '*اشتراك شهرين (الفترة الصباحية)': '500', '*اشتراك 3 اشهر (الفترة الصباحية)': '800', '*اشتراك شهر (الفترة المسائية)': '300', '*اشتراك شهرين (الفترة المسائية)': '600', '*اشتراك 3 اشهر (الفترة المسائية)': '900'}"
صيدليات زاد الدوائية (جميع الفروع),,,,المنطقة الوسطى,المزاحمية,"{'*خصم  على الادوية .': '15', '*خصم  على مستحضرات التجميل .': '10', '*خصم  على الحليب والحفائض .': '5', '*لا تسري الخصومات مع العروض .': ' '}"
صفوة المهيدب لطب الاسنان (الزلفى),tel:‪0534452551‬‏,العنوان : الزلفي طريق الملك فهد الفرعي,"https://www.google.com.sa/maps/place/صفوة المهيدب لطب الاسنان الزلفى‭/@26.4826911,45.1080305,9.5z/data=!4m5!3m4!1s0x157fc347a947928f:0x1888754bacd6093d!8m2!3d26.3057849!4d44.8291968",المنطقة الوسطى,الزلفي المجمعة وحوطة سدير,"{'الكشف مجانا لحاملي بطاقة تكافل العربية': '     ', 'خلع عادي': '100', 'اشعه صغيره': '30', 'اشعه بانوراميه (2D)': '150', 'حشوة تجميلية': '150', 'حشوة عاديه': '100', 'خلع ضرس العقل جراحي يبدا من': '500', 'تركيبة البورسلين': '350', 'تركيبة زيركون': '500', 'بتسامة هوليود 16سن 6000 ريال مع خصم 50% على المعالجات': '6000', 'تقويم الاسنان كاش': '2300', 'توريد وتحديد اللثة + قص اللثة باالليزر': '1000', 'سحب العصب مع الاشعه': '500', 'تقويم الاسنان أقساط دفعه1000والباقي يحدد حسب الحاله': '    ', 'تنظيف الأسنان': '100', 'تبييض الأسنان باالليزر': '400', 'تقويم شفاف': '7000', 'قوالب التبيض المنزلي': '450', 'زراعة الاسنان للسن الواحد مع التركيب': '2200', 'خصم اضافي على العروض الخاصة لحاملي بطاقة تكافل العربية': '5', 'يجب إبراز بطاقة تكافل العربية للحصول على الخصم': '   '}"
مراكز المها للبصريات ( جميع الفروع ),tel:920033390,العنوان : جميع الفروع,,المنطقة الوسطى,حوطة بني تميم,"{'فحص النظر مجاناً( لحاملي بطاقة تكافل العربية) .': ' ', 'خصم  على الإطارات الطبية .': '30', 'خصم على النظارات الشمسية .': '30', 'خصم على العدسات اللاصقة الطبية والتجميلية .': '20', 'خصم على العدسات اللاصقة التوريك والطليبات الخاصة .': '10', 'خصم على العدسات اللاصقة الصلبة لعلاج القرنية المخروطية .': '10', '* ملاحظة : في حال وجود عروض تخفيضات خاصة بنظارات المها للبصريات فإنه يحق لحامل بطاقتنا إختيار العرض المناسب له.': ' ', '* ملاحظة : يحق لعميلنا الإستفادة من التأمين الخاص به أو من الخصم الخاص المقدم لبطاقة تكافل العربية ولا يحق له المطالبة بكليهما.': ' '}"
مراكز المها للبصريات ( جميع الفروع ),tel:920033390,,,المنطقة الوسطى,المزاحمية,"{'1- فحص النظر مجاناً( لحاملي بطاقة تكافل العربية) .': ' ', '2- خصم  على الإطارات الطبية .': '30', '3- خصم  على النظارات الشمسية .': '30', '4- خصم  على العدسات اللاصقة الطبية والتجميلية .': '20', '5- خصم  على العدسات اللاصقة التوريك والطليبات الخاصة .': ' 10 ', '6- خصم  على العدسات اللاصقة الصلبة لعلاج القرنية المخروطية .': '10', '* ملاحظة : في حال وجود عروض تخفيضات خاصة بنظارات المها للبصريات فإنه يحق لحامل بطاقتنا إختيار العرض المناسب له.': ' ', '* ملاحظة : يحق لعميلنا الإستفادة من التأمين الخاص به أو من الخصم الخاص المقدم لبطاقة تكافل العربية ولا يحق له المطالبة بكليهما.': ' '}"
مجمع الجعولي الطبي (طريق الامير احمد بن عبدالعزيز),tel:0115562223,العنوان : العنوان : حوطة بني تميم - طريق الامير احمد بن عبدالعزيز,"https://www.google.com.sa/maps/place/%D9%85%D8%B3%D8%AA%D9%88%D8%B5%D9%81+%D8%A7%D9%84%D8%AC%D8%B9%D9%88%D9%84%D9%8A+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%E2%80%AD/@23.4874237,46.8728042,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x68cac098a12f08d8!8m2!3d23.4874237!4d46.8706155",المنطقة الوسطى,حوطة بني تميم,"{'*خصم على الكشف .': '35', '*خصم على جميع الخدمات .': '20', '*ملاحظة : الخصم لايشمل تركيبات الاسنان .': ' '}"
مجمع عيادات فرحان النادر (رماح),"tel:0554182127,tel:0554182127",العنوان : رماح,"https://www.google.com.sa/maps/place/25%C2%B032'54.4%22N+47%C2%B010'05.1%22E/@25.5484447,47.1702643,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d25.5484447!4d47.1680756?hl=ar",المنطقة الوسطى,المزاحمية,"{'*خصم  على  الكشوفات .': '50 ', '*خصم  على التحاليل .': '25', '*خصم  على الأشعة .': '25', '*خصم  على خدمات الاسنان .': '20', '*خصم على الادوية + والاكسسورات بالصيدلية .': ' 7', '*خصم  على الحليب + الحفائض بالصيدلية .': '3'}"
مركز خطوة علاج ( المدينة المنوره - طريق قباء ),tel:0597992026    0590690050,العنوان : مركز خطوة علاج -المدينه المنوره -طريق قباء -شوران,"https://www.google.com/maps/place/مركز خطوة علاج للعلاج الطبيعى المكثف و التأهيل الطبى الشامل‭/@24.3823572,39.6498272,17z/data=!4m5!3m4!1s0x15bdbf4ef00917ff:0x1d0d46ab12c8703f!8m2!3d24.3823572!4d39.6476385?hl=ar",المنطقة الغربية,المدينة المنورة,"{'كشف وتقييم الطبيب ومجانا مع الكوبون': '50', 'علاج طبيعي للاطفال ( ساعة )': '80', 'علاج طبيعي للسيدات والرجال علاجيه لطرف واحد': '90 ', 'اضافة احد الوسائل العلاجيه الكهربائيه جهاز او اكثر': '20', 'تمرينات علاجيه لاكثر من طرف او كامل الجسم للساعه الواحده': '90', 'اضافة جهاز الموجات التصادميه': '50', 'اضافة جهاز شد الفقرات ثلاثي الابعاد': '50', 'علاج مائي مدة الجلسة ساعه واحده': '100', 'للاستفادة من الخصم يرجى ابراز بطاقة تكافل العر بيه قبل اخذ الخدمه . الخصم لا يشمل العروض': ' '}"
مراكز المها للبصريات ( جميع الفروع ),tel:920033390,العنوان : جميع الفروع,,المنطقة الوسطى,المزاحمية,"{'فحص النظر مجاناً( لحاملي بطاقة تكافل العربية) .': ' ', 'خصم على الإطارات الطبية .': '30', 'خصم على النظارات الشمسية .': '30', 'خصم على العدسات اللاصقة الطبية والتجميلية .': '20', 'خصم على العدسات اللاصقة التوريك والطليبات الخاصة .': '10', 'خصم  على العدسات اللاصقة الصلبة لعلاج القرنية المخروطية .': '10', '* ملاحظة : في حال وجود عروض تخفيضات خاصة بنظارات المها للبصريات فإنه يحق لحامل بطاقتنا إختيار العرض المناسب له.': ' ', '* ملاحظة : يحق لعميلنا الإستفادة من التأمين الخاص به أو من الخصم الخاص المقدم لبطاقة تكافل العربية ولا يحق له المطالبة بكليهما.': ' '}"
مجمع الاسرة الخليجية الطبي (شارع الملك فيصل),tel:0146288880,العنوان : طبرجل - شارع الملك فيصل,https://www.google.com.sa/maps/place/30%C2%B030,المنطقة  الشمالية,طبرجل,"{'*خصم  على الكشوفات بجميع العيادات .': '30', '*خصم  على السونار .': '20', '*خصم  على خدمات الليزر .': '50', '*خصم  على خدمات الأسنان .': '15', '*خصم  على خدمات المختبر .': '15', '*خصم  على خدمات الأشعة .': '30', '*خصم  على خدمات الضماد .': '10', '*خصم  على وصفة الصيدلية .': '5', '*ملاحظة : الخصم لايشمل العروض الخاصة أو قسائم الخصم الصادرة من المجمع .': ' '}"
مركز دكتور نيوترشن ( جميع الفروع ),tel:0118103068,العنوان : مركز دكتور نيوترشن ( جميع الفروع ),,المنطقة الوسطى,المزاحمية,"{'*باقة (التوفير)': '600', '*باقة (البرونزية)': '750', '*باقة (الفضية)': '1100', '*باقة (التيتانيوم)': '2000', '*باقة (الذهبية)': '2999', '*باقة (البلاتينية)': '4000', '*باقة (الوزن المثالي)': '5000', '*باقة (الماسية)': '5999', '*باقة (vip)': '6999', '*يحصل عميل تكافل العربية على العرض الأقل بفروع الدكتور نيوترشن بالاضافة الى شهر اضافي عند الاشتراك في أي باقة .': ' ', 'ملاحظه : في حال عدم الإشتراك في أي باقة يتم خصم 10% على جميع المنتجات .': ' ', 'هذه الخصومات لا تشمل الأجهزة الرياضية .': ' '}"
مجمع الاسرة الخليجية الطبي (شارع الملك فيصل),tel:0146288880,العنوان : طبرجل - شارع الملك فيصل,"https://www.google.com.sa/maps/place/30%C2%B030'08.0%22N+38%C2%B012'42.9%22E/@30.5022172,38.2141064,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d30.5022172!4d38.2119177?hl=ar",المنطقة  الشمالية,طبرجل,"{'*خصم  على الكشوفات بجميع العيادات .': '30', '*خصم  على السونار .': '20', '*خصم  على خدمات الليزر .': '50', '*خصم  على خدمات الأسنان .': '15', '*خصم  على خدمات المختبر .': '15', '*خصم  على خدمات الأشعة .': '30', '*خصم  على خدمات الضماد .': '10', '*خصم  على وصفة الصيدلية .': '5', '*ملاحظة : الخصم لايشمل العروض الخاصة أو قسائم الخصم الصادرة من المجمع .': ' '}"
صيدلية السمو (ضرما),tel:‪0565836311,العنوان : العنوان : ضرما - حي العزيزية - بجانب الاحوال المدينة,"https://www.google.com.sa/maps/place/24%C2%B036'13.7%22N+46%C2%B007'28.7%22E/@24.6037979,46.1268339,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d24.6037979!4d46.1246452?hl=ar",المنطقة الوسطى,المزاحمية,"{'*خصم  على الادوية .': '7', '*خصم على الحفايض و الانسولين .': '5', '*خصم على الاجهزة الطبية .': '10', '*خصم على منتجات التجميل.': '10'}"
مجمع رام الطبي  (حي البحيرة ),"tel:0138560317,tel:حجز المواعيد ( 0509386667 ),http://ar.ramclinics.net",العنوان : سيهات - حي البحيرة - طريق الخليج,"https://www.google.com.sa/maps/dir//طريق الكورنيش، سيهات‎ 32431، السعودية‭/@26.4779686,50.0646892,16.5z/data=!4m9!4m8!1m0!1m5!1m1!1s0x3e49fe8b09ed139b:0x98f718ce23bb2963!2m2!1d50.0654804!2d26.477224!3e0?hl=ar",المنطقة  الشرقية,سيهات,"{'*قسم خدمات الأسنان.': '  ', '*تركيبات البورسلين الألماني للسن الواحد .': '600', '*العدسات السنية ( ابتسامة هوليود ) العدسة للسن الواحد .': '875', '*زراعة الأسنان بالنظام الألماني للسن الواحد بدون تركيبة .': '2500', '*تركيبات الزيركون الألماني للسن الواحد .': '875', '*تبييض الأسنان بتقنية white smile .': '650', '*تقويم الأسنان العادي ( الحالات البسيطة والمتوسطة ) لمدة عام بنظام الأقساط الشهرية 300 ريال شهرياً (شامل الأشعه والمقاسات والجهاز ) مجاناً .': '4450', '*جلسة الغاز الضاحك لعلاج الأطفال .': '325', '* تقويم الاسنان الشفاف ( الحالات البسيطة والمتوسطة ) لمدة عام بنظام الاقساط الشهرية 300 ريال شهريا شامل ( الاشعه - المقاسات - الجهاز ) مجانا .': '6850', '*خصم على عمليات جراحة الفم والفكين .': '15', '*خصم على باقي الخدمات ( لايشمل الاشعة ) .': '40', '*قسم الجلدية والتجميل :': '  ', 'جلسة ازالة شعر الوجه مع الرتوش': '170', 'جلسة تحديد الذقن للرجال مع الرتوش': '250', 'جلسة توريد شفاه بالكربون': '100', 'جلسة تقشير شفاه': '230', '*إزالة الشعر كامل الجسم دون البطن والظهر بدون رتوش .': '420', '*جلسة اسبكترا كربوني للوجه مع تشقير': '175', '*حقن فيلر توسيال 1 مل .': '860', '*حقن فيلر جوفيدرم 1 مل .': '1000', '*حقن بوتكس لمنطقة واحدة .': '700', '*باقة التخسيس الكاملة (تشمل عدد جلة واحدة بجهاز crylipolysis و عدد 3 جلسات بجهاز Exilis ) .': '1150', '*جلسة حقن البلازما للمنطقة الواحدة .': '599', 'جلسة شد الوجه والرقبة في جلسة واحدة بدون جراحة بجهاز ( Ultraformer ) حصريا فرع دار رام': '1500', '*خصم على العمليات التجميلية .': '20', '*خصم على باقي خدمات الجلدية .': '40', '* خدمات الرعاية الصحية .': '  ', '*برنامج هشاشة العظام وتقييم المفاصل .': '333', '*برنامج الفحص الشامل .': '245', '*( الانيميا ) برنامج الكشف الشامل لامراض فقر الدم .': '299', '*برنامج الكشف عن امراض الغدة الدرقية .': '444', '*برنامج متابعه الحمل من الشهر الاول حتى الولادة .': '1620', '*برنامج الكشف المبكر عن داء السكري .': '155', '*برنامج التقييم العصبي .': '222', '*خصم على الاشعة والعمليات الجراحية': '35 ', '* خصم على المختبر .': '25', '* خصم على باقي الخدمات .': '20', '*خصم في حال وجود عروض خاصة لحاملي بطاقة تكافل العربية .': '  5 ', '* مـــــلاحظـــــــــــــــــــــــــــــة .': ' ', 'في حالة بدأ المراجع تقويم بالخارج ويرغب في الاكمال مع رام يحصل على خصم على اجمالي التكلفة': '40 ', 'يدفع العميل الكشف بسعره العادي وفي حالة عمل الخدمة تكون قيمة الكشف ( 25 ريال ) فقط ويخصم الفرق للعميل .(باستثناء الاستشاريين )': '25 '}"
